ticker,,SPX Index,SPX Index,NDX Index,NDX Index
field,,BEST_PE_RATIO,PX_LAST,BEST_PE_RATIO,PX_LAST
,date,,,,
SPX Index,2020-01-01,20.1637,,,
SPX Index,2020-01-02,20.3342,3257.85,,
SPX Index,2020-01-03,20.1992,3234.85,,
SPX Index,2020-01-06,20.2549,3246.28,,
SPX Index,2020-01-07,20.2016,3237.18,,
SPX Index,2020-01-08,20.3101,3253.05,,
SPX Index,2020-01-09,20.4425,3274.7,,
SPX Index,2020-01-10,20.3806,3265.35,,
SPX Index,2020-01-13,20.5246,3288.13,,
SPX Index,2020-01-14,20.5186,3283.15,,
SPX Index,2020-01-15,20.5768,3289.29,,
SPX Index,2020-01-16,20.7404,3316.81,,
SPX Index,2020-01-17,20.82,3329.62,,
SPX Index,2020-01-20,20.8218,,,
SPX Index,2020-01-21,20.745,3320.79,,
SPX Index,2020-01-22,20.8096,3321.75,,
SPX Index,2020-01-23,20.8601,3325.54,,
SPX Index,2020-01-24,20.6806,3295.47,,
SPX Index,2020-01-27,20.3541,3243.63,,
SPX Index,2020-01-28,20.5941,3276.24,,
SPX Index,2020-01-29,20.8,3273.4,,
SPX Index,2020-01-30,21.0257,3283.66,,
SPX Index,2020-01-31,20.6166,3225.52,,
SPX Index,2020-02-03,20.8787,3248.92,,
SPX Index,2020-02-04,21.2317,3297.59,,
SPX Index,2020-02-05,21.4605,3334.69,,
SPX Index,2020-02-06,21.5947,3345.78,,
SPX Index,2020-02-07,21.4886,3327.71,,
SPX Index,2020-02-10,21.7166,3352.09,,
SPX Index,2020-02-11,21.7567,3357.75,,
SPX Index,2020-02-12,21.9603,3379.45,,
SPX Index,2020-02-13,21.9582,3373.94,,
SPX Index,2020-02-14,21.9856,3380.16,,
SPX Index,2020-02-17,21.9873,,,
SPX Index,2020-02-18,21.9773,3370.29,,
SPX Index,2020-02-19,22.0457,3386.15,,
SPX Index,2020-02-20,21.9628,3373.23,,
SPX Index,2020-02-21,21.7132,3337.75,,
SPX Index,2020-02-24,18.5903,3225.89,,
SPX Index,2020-02-25,18.0227,3128.21,,
SPX Index,2020-02-26,17.9742,3116.39,,
SPX Index,2020-02-27,17.1966,2978.76,,
SPX Index,2020-02-28,17.0751,2954.22,,
SPX Index,2020-03-02,17.8882,3090.23,,
SPX Index,2020-03-03,17.3967,3003.37,,
SPX Index,2020-03-04,18.1587,3130.12,,
SPX Index,2020-03-05,17.5669,3023.94,,
SPX Index,2020-03-06,17.2802,2972.37,,
SPX Index,2020-03-09,16.0462,2746.56,,
SPX Index,2020-03-10,16.8749,2882.23,,
SPX Index,2020-03-11,16.1126,2741.38,,
SPX Index,2020-03-12,14.618,2480.64,,
SPX Index,2020-03-13,16.0467,2711.02,,
SPX Index,2020-03-16,14.3198,2386.13,,
SPX Index,2020-03-17,15.2604,2529.19,,
SPX Index,2020-03-18,14.5483,2398.1,,
SPX Index,2020-03-19,14.694,2409.39,,
SPX Index,2020-03-20,14.1937,2304.92,,
SPX Index,2020-03-23,13.9721,2237.4,,
SPX Index,2020-03-24,15.4196,2447.33,,
SPX Index,2020-03-25,15.7397,2475.56,,
SPX Index,2020-03-26,16.834,2630.07,,
SPX Index,2020-03-27,16.3806,2541.47,,
SPX Index,2020-03-30,17.1752,2626.65,,
SPX Index,2020-03-31,17.1082,2584.59,,
SPX Index,2020-04-01,16.4481,2470.5,,
SPX Index,2020-04-02,16.9554,2526.9,,
SPX Index,2020-04-03,16.785,2488.65,,
SPX Index,2020-04-06,18.1926,2663.68,,
SPX Index,2020-04-07,18.5584,2659.41,,
SPX Index,2020-04-08,19.4877,2749.98,,
SPX Index,2020-04-09,20.0131,2789.82,,
SPX Index,2020-04-10,20.0051,,,
SPX Index,2020-04-13,19.9475,2761.63,,
SPX Index,2020-04-14,20.7775,2846.06,,
SPX Index,2020-04-15,20.5408,2783.36,,
SPX Index,2020-04-16,20.7624,2799.55,,
SPX Index,2020-04-17,21.3958,2874.56,,
SPX Index,2020-04-20,21.1934,2823.16,,
SPX Index,2020-04-21,20.6732,2736.56,,
SPX Index,2020-04-22,21.2495,2799.31,,
SPX Index,2020-04-23,21.3232,2797.8,,
SPX Index,2020-04-24,21.7172,2836.74,,
SPX Index,2020-04-27,22.1292,2878.48,,
SPX Index,2020-04-28,22.0809,2863.39,,
SPX Index,2020-04-29,22.7053,2939.51,,
SPX Index,2020-04-30,22.6157,2912.43,,
SPX Index,2020-05-01,22.1731,2830.71,,
SPX Index,2020-05-04,22.2709,2842.74,,
SPX Index,2020-05-05,22.6355,2868.44,,
SPX Index,2020-05-06,22.5192,2848.42,,
SPX Index,2020-05-07,22.8396,2881.19,,
SPX Index,2020-05-08,23.2988,2929.8,,
SPX Index,2020-05-11,23.3545,2930.32,,
SPX Index,2020-05-12,23.0163,2870.12,,
SPX Index,2020-05-13,22.6421,2820.0,,
SPX Index,2020-05-14,22.9256,2852.5,,
SPX Index,2020-05-15,23.0492,2863.7,,
SPX Index,2020-05-18,23.8034,2953.91,,
SPX Index,2020-05-19,23.5499,2922.94,,
SPX Index,2020-05-20,23.9331,2971.61,,
SPX Index,2020-05-21,23.8656,2948.51,,
SPX Index,2020-05-22,23.9363,2955.45,,
SPX Index,2020-05-25,23.9344,,,
SPX Index,2020-05-26,24.2286,2991.77,,
SPX Index,2020-05-27,24.5739,3036.13,,
SPX Index,2020-05-28,24.5415,3029.73,,
