,date,tic,PX_LAST
0,2023-01-31,CPI YOY Index,6.4
1,2023-02-28,CPI YOY Index,6.0
2,2023-01-31,NFP NYCH Index,4907.0
3,2023-02-28,NFP NYCH Index,4377.0
