,date,tic,LAST_PRICE,type
63,1980-04-01,SPX Index,102.18,asset
64,1980-04-02,SPX Index,102.68,asset
65,1980-04-03,SPX Index,102.15,asset
66,1980-04-07,SPX Index,100.19,asset
67,1980-04-08,SPX Index,101.2,asset
68,1980-04-09,SPX Index,103.11,asset
69,1980-04-10,SPX Index,104.08,asset
70,1980-04-11,SPX Index,103.79,asset
71,1980-04-14,SPX Index,102.84,asset
72,1980-04-15,SPX Index,102.63,asset
73,1980-04-16,SPX Index,101.54,asset
74,1980-04-17,SPX Index,101.05,asset
75,1980-04-18,SPX Index,100.55,asset
76,1980-04-21,SPX Index,99.8,asset
77,1980-04-22,SPX Index,103.43,asset
78,1980-04-23,SPX Index,103.73,asset
79,1980-04-24,SPX Index,104.4,asset
80,1980-04-25,SPX Index,105.16,asset
81,1980-04-28,SPX Index,105.64,asset
82,1980-04-29,SPX Index,105.86,asset
83,1980-04-30,SPX Index,106.29,asset
84,1980-05-01,SPX Index,105.46,asset
85,1980-05-02,SPX Index,105.58,asset
86,1980-05-05,SPX Index,106.38,asset
87,1980-05-06,SPX Index,106.25,asset
88,1980-05-07,SPX Index,107.18,asset
89,1980-05-08,SPX Index,106.13,asset
90,1980-05-09,SPX Index,104.72,asset
91,1980-05-12,SPX Index,104.78,asset
92,1980-05-13,SPX Index,106.3,asset
93,1980-05-14,SPX Index,106.85,asset
94,1980-05-15,SPX Index,106.99,asset
95,1980-05-16,SPX Index,107.35,asset
96,1980-05-19,SPX Index,107.67,asset
97,1980-05-20,SPX Index,107.62,asset
98,1980-05-21,SPX Index,107.72,asset
99,1980-05-22,SPX Index,109.01,asset
100,1980-05-23,SPX Index,110.62,asset
101,1980-05-27,SPX Index,111.4,asset
102,1980-05-28,SPX Index,112.06,asset
103,1980-05-29,SPX Index,110.27,asset
104,1980-05-30,SPX Index,111.24,asset
105,1980-06-02,SPX Index,110.76,asset
106,1980-06-03,SPX Index,110.51,asset
107,1980-06-04,SPX Index,112.61,asset
108,1980-06-05,SPX Index,112.78,asset
109,1980-06-06,SPX Index,113.2,asset
110,1980-06-09,SPX Index,113.71,asset
111,1980-06-10,SPX Index,114.66,asset
112,1980-06-11,SPX Index,116.02,asset
113,1980-06-12,SPX Index,115.52,asset
114,1980-06-13,SPX Index,115.81,asset
115,1980-06-16,SPX Index,116.09,asset
116,1980-06-17,SPX Index,116.03,asset
117,1980-06-18,SPX Index,116.26,asset
118,1980-06-19,SPX Index,114.66,asset
119,1980-06-20,SPX Index,114.06,asset
120,1980-06-23,SPX Index,114.51,asset
121,1980-06-24,SPX Index,115.14,asset
122,1980-06-25,SPX Index,116.72,asset
123,1980-06-26,SPX Index,116.19,asset
124,1980-06-27,SPX Index,116.0,asset
125,1980-06-30,SPX Index,114.24,asset
126,1980-07-01,SPX Index,114.93,asset
127,1980-07-02,SPX Index,115.68,asset
128,1980-07-03,SPX Index,117.46,asset
129,1980-07-07,SPX Index,118.29,asset
130,1980-07-08,SPX Index,117.84,asset
131,1980-07-09,SPX Index,117.98,asset
132,1980-07-10,SPX Index,116.95,asset
133,1980-07-11,SPX Index,117.84,asset
134,1980-07-14,SPX Index,120.01,asset
135,1980-07-15,SPX Index,119.3,asset
136,1980-07-16,SPX Index,119.63,asset
137,1980-07-17,SPX Index,121.44,asset
138,1980-07-18,SPX Index,122.04,asset
139,1980-07-21,SPX Index,122.51,asset
140,1980-07-22,SPX Index,122.19,asset
141,1980-07-23,SPX Index,121.93,asset
142,1980-07-24,SPX Index,121.79,asset
143,1980-07-25,SPX Index,120.78,asset
144,1980-07-28,SPX Index,121.43,asset
145,1980-07-29,SPX Index,122.4,asset
146,1980-07-30,SPX Index,122.23,asset
147,1980-07-31,SPX Index,121.67,asset
148,1980-08-01,SPX Index,121.21,asset
149,1980-08-04,SPX Index,120.98,asset
150,1980-08-05,SPX Index,120.74,asset
151,1980-08-06,SPX Index,121.55,asset
152,1980-08-07,SPX Index,123.3,asset
153,1980-08-08,SPX Index,123.61,asset
154,1980-08-11,SPX Index,124.78,asset
155,1980-08-12,SPX Index,123.79,asset
156,1980-08-13,SPX Index,123.28,asset
157,1980-08-14,SPX Index,125.25,asset
158,1980-08-15,SPX Index,125.72,asset
159,1980-08-18,SPX Index,123.39,asset
160,1980-08-19,SPX Index,122.6,asset
161,1980-08-20,SPX Index,123.77,asset
162,1980-08-21,SPX Index,125.46,asset
163,1980-08-22,SPX Index,126.02,asset
164,1980-08-25,SPX Index,125.16,asset
165,1980-08-26,SPX Index,124.84,asset
166,1980-08-27,SPX Index,123.52,asset
167,1980-08-28,SPX Index,122.08,asset
168,1980-08-29,SPX Index,122.38,asset
169,1980-09-02,SPX Index,123.73,asset
170,1980-09-03,SPX Index,126.12,asset
171,1980-09-04,SPX Index,125.42,asset
172,1980-09-05,SPX Index,124.88,asset
173,1980-09-08,SPX Index,123.31,asset
174,1980-09-09,SPX Index,124.07,asset
175,1980-09-10,SPX Index,124.81,asset
176,1980-09-11,SPX Index,125.66,asset
177,1980-09-12,SPX Index,125.54,asset
178,1980-09-15,SPX Index,125.67,asset
179,1980-09-16,SPX Index,126.74,asset
180,1980-09-17,SPX Index,128.87,asset
181,1980-09-18,SPX Index,128.4,asset
182,1980-09-19,SPX Index,129.25,asset
183,1980-09-22,SPX Index,130.4,asset
184,1980-09-23,SPX Index,129.43,asset
185,1980-09-24,SPX Index,130.37,asset
186,1980-09-25,SPX Index,128.72,asset
187,1980-09-26,SPX Index,126.35,asset
188,1980-09-29,SPX Index,123.54,asset
189,1980-09-30,SPX Index,125.46,asset
190,1980-10-01,SPX Index,127.13,asset
191,1980-10-02,SPX Index,128.09,asset
192,1980-10-03,SPX Index,129.33,asset
193,1980-10-06,SPX Index,131.73,asset
194,1980-10-07,SPX Index,131.0,asset
195,1980-10-08,SPX Index,131.65,asset
196,1980-10-09,SPX Index,131.04,asset
197,1980-10-10,SPX Index,130.29,asset
198,1980-10-13,SPX Index,132.03,asset
199,1980-10-14,SPX Index,132.02,asset
200,1980-10-15,SPX Index,133.7,asset
201,1980-10-16,SPX Index,132.22,asset
202,1980-10-17,SPX Index,131.52,asset
203,1980-10-20,SPX Index,132.61,asset
204,1980-10-21,SPX Index,131.84,asset
205,1980-10-22,SPX Index,131.92,asset
206,1980-10-23,SPX Index,129.53,asset
207,1980-10-24,SPX Index,129.85,asset
208,1980-10-27,SPX Index,127.88,asset
209,1980-10-28,SPX Index,128.05,asset
210,1980-10-29,SPX Index,127.91,asset
211,1980-10-30,SPX Index,126.29,asset
212,1980-10-31,SPX Index,127.47,asset
213,1980-11-03,SPX Index,129.04,asset
214,1980-11-05,SPX Index,131.33,asset
215,1980-11-06,SPX Index,128.91,asset
216,1980-11-07,SPX Index,129.18,asset
217,1980-11-10,SPX Index,129.48,asset
218,1980-11-11,SPX Index,131.26,asset
219,1980-11-12,SPX Index,134.59,asset
220,1980-11-13,SPX Index,136.49,asset
221,1980-11-14,SPX Index,137.15,asset
222,1980-11-17,SPX Index,137.75,asset
223,1980-11-18,SPX Index,139.7,asset
224,1980-11-19,SPX Index,139.06,asset
225,1980-11-20,SPX Index,140.4,asset
226,1980-11-21,SPX Index,139.11,asset
227,1980-11-24,SPX Index,138.31,asset
228,1980-11-25,SPX Index,139.33,asset
229,1980-11-26,SPX Index,140.17,asset
230,1980-11-28,SPX Index,140.52,asset
231,1980-12-01,SPX Index,137.21,asset
232,1980-12-02,SPX Index,136.97,asset
233,1980-12-03,SPX Index,136.71,asset
234,1980-12-04,SPX Index,136.48,asset
235,1980-12-05,SPX Index,134.03,asset
236,1980-12-08,SPX Index,130.61,asset
237,1980-12-09,SPX Index,130.48,asset
238,1980-12-10,SPX Index,128.26,asset
239,1980-12-11,SPX Index,127.36,asset
240,1980-12-12,SPX Index,129.23,asset
241,1980-12-15,SPX Index,129.45,asset
242,1980-12-16,SPX Index,130.6,asset
243,1980-12-17,SPX Index,132.89,asset
244,1980-12-18,SPX Index,133.0,asset
245,1980-12-19,SPX Index,133.7,asset
246,1980-12-22,SPX Index,135.78,asset
247,1980-12-23,SPX Index,135.3,asset
248,1980-12-24,SPX Index,135.88,asset
249,1980-12-26,SPX Index,136.57,asset
250,1980-12-29,SPX Index,135.03,asset
251,1980-12-30,SPX Index,135.33,asset
252,1980-12-31,SPX Index,135.76,asset
253,1981-01-02,SPX Index,136.34,asset
254,1981-01-05,SPX Index,137.97,asset
255,1981-01-06,SPX Index,138.12,asset
256,1981-01-07,SPX Index,135.08,asset
257,1981-01-08,SPX Index,133.06,asset
258,1981-01-09,SPX Index,133.48,asset
259,1981-01-12,SPX Index,133.52,asset
260,1981-01-13,SPX Index,133.29,asset
261,1981-01-14,SPX Index,133.47,asset
262,1981-01-15,SPX Index,134.22,asset
263,1981-01-16,SPX Index,134.77,asset
264,1981-01-19,SPX Index,134.37,asset
265,1981-01-20,SPX Index,131.65,asset
266,1981-01-21,SPX Index,131.36,asset
267,1981-01-22,SPX Index,130.26,asset
268,1981-01-23,SPX Index,130.23,asset
269,1981-01-26,SPX Index,129.84,asset
270,1981-01-27,SPX Index,131.12,asset
271,1981-01-28,SPX Index,130.34,asset
272,1981-01-29,SPX Index,130.24,asset
273,1981-01-30,SPX Index,129.55,asset
274,1981-02-02,SPX Index,126.91,asset
275,1981-02-03,SPX Index,128.46,asset
276,1981-02-04,SPX Index,128.59,asset
277,1981-02-05,SPX Index,129.63,asset
278,1981-02-06,SPX Index,130.6,asset
279,1981-02-09,SPX Index,129.27,asset
280,1981-02-10,SPX Index,129.24,asset
281,1981-02-11,SPX Index,128.24,asset
282,1981-02-12,SPX Index,127.48,asset
283,1981-02-13,SPX Index,126.98,asset
284,1981-02-17,SPX Index,127.81,asset
285,1981-02-18,SPX Index,128.48,asset
286,1981-02-19,SPX Index,126.61,asset
287,1981-02-20,SPX Index,126.58,asset
288,1981-02-23,SPX Index,127.35,asset
289,1981-02-24,SPX Index,127.39,asset
290,1981-02-25,SPX Index,128.52,asset
291,1981-02-26,SPX Index,130.1,asset
292,1981-02-27,SPX Index,131.27,asset
293,1981-03-02,SPX Index,132.01,asset
294,1981-03-03,SPX Index,130.56,asset
295,1981-03-04,SPX Index,130.86,asset
296,1981-03-05,SPX Index,129.93,asset
297,1981-03-06,SPX Index,129.85,asset
298,1981-03-09,SPX Index,131.12,asset
299,1981-03-10,SPX Index,130.46,asset
300,1981-03-11,SPX Index,129.95,asset
301,1981-03-12,SPX Index,133.19,asset
302,1981-03-13,SPX Index,133.11,asset
303,1981-03-16,SPX Index,134.68,asset
304,1981-03-17,SPX Index,133.92,asset
305,1981-03-18,SPX Index,134.22,asset
306,1981-03-19,SPX Index,133.46,asset
307,1981-03-20,SPX Index,134.08,asset
308,1981-03-23,SPX Index,135.69,asset
309,1981-03-24,SPX Index,134.67,asset
310,1981-03-25,SPX Index,137.11,asset
311,1981-03-26,SPX Index,136.27,asset
312,1981-03-27,SPX Index,134.65,asset
313,1981-03-30,SPX Index,134.28,asset
314,1981-03-31,SPX Index,136.0,asset
315,1981-04-01,SPX Index,136.57,asset
316,1981-04-02,SPX Index,136.32,asset
317,1981-04-03,SPX Index,135.49,asset
318,1981-04-06,SPX Index,133.93,asset
319,1981-04-07,SPX Index,133.91,asset
320,1981-04-08,SPX Index,134.91,asset
321,1981-04-09,SPX Index,134.67,asset
322,1981-04-10,SPX Index,134.51,asset
323,1981-04-13,SPX Index,133.15,asset
324,1981-04-14,SPX Index,132.68,asset
325,1981-04-15,SPX Index,134.17,asset
326,1981-04-16,SPX Index,134.7,asset
327,1981-04-20,SPX Index,135.45,asset
328,1981-04-21,SPX Index,134.23,asset
329,1981-04-22,SPX Index,134.14,asset
330,1981-04-23,SPX Index,133.94,asset
331,1981-04-24,SPX Index,135.14,asset
332,1981-04-27,SPX Index,135.48,asset
333,1981-04-28,SPX Index,134.33,asset
334,1981-04-29,SPX Index,133.05,asset
335,1981-04-30,SPX Index,132.81,asset
336,1981-05-01,SPX Index,132.72,asset
337,1981-05-04,SPX Index,130.67,asset
338,1981-05-05,SPX Index,130.32,asset
339,1981-05-06,SPX Index,130.78,asset
340,1981-05-07,SPX Index,131.67,asset
341,1981-05-08,SPX Index,131.66,asset
342,1981-05-11,SPX Index,129.71,asset
343,1981-05-12,SPX Index,130.72,asset
344,1981-05-13,SPX Index,130.55,asset
345,1981-05-14,SPX Index,131.28,asset
346,1981-05-15,SPX Index,132.17,asset
347,1981-05-18,SPX Index,132.54,asset
348,1981-05-19,SPX Index,132.09,asset
349,1981-05-20,SPX Index,132.0,asset
350,1981-05-21,SPX Index,131.75,asset
351,1981-05-22,SPX Index,131.33,asset
352,1981-05-26,SPX Index,132.77,asset
353,1981-05-27,SPX Index,133.77,asset
354,1981-05-28,SPX Index,133.45,asset
355,1981-05-29,SPX Index,132.59,asset
356,1981-06-01,SPX Index,132.41,asset
357,1981-06-02,SPX Index,130.62,asset
358,1981-06-03,SPX Index,130.71,asset
359,1981-06-04,SPX Index,130.96,asset
360,1981-06-05,SPX Index,132.22,asset
361,1981-06-08,SPX Index,132.24,asset
362,1981-06-09,SPX Index,131.97,asset
363,1981-06-10,SPX Index,132.32,asset
364,1981-06-11,SPX Index,133.75,asset
365,1981-06-12,SPX Index,133.49,asset
366,1981-06-15,SPX Index,133.61,asset
367,1981-06-16,SPX Index,132.15,asset
368,1981-06-17,SPX Index,133.32,asset
369,1981-06-18,SPX Index,131.64,asset
370,1981-06-19,SPX Index,132.27,asset
371,1981-06-22,SPX Index,131.95,asset
372,1981-06-23,SPX Index,133.35,asset
373,1981-06-24,SPX Index,132.66,asset
374,1981-06-25,SPX Index,132.81,asset
375,1981-06-26,SPX Index,132.56,asset
376,1981-06-29,SPX Index,131.89,asset
377,1981-06-30,SPX Index,131.21,asset
378,1981-07-01,SPX Index,129.77,asset
379,1981-07-02,SPX Index,128.64,asset
380,1981-07-06,SPX Index,127.37,asset
381,1981-07-07,SPX Index,128.24,asset
382,1981-07-08,SPX Index,128.32,asset
383,1981-07-09,SPX Index,129.3,asset
384,1981-07-10,SPX Index,129.37,asset
385,1981-07-13,SPX Index,129.64,asset
386,1981-07-14,SPX Index,129.65,asset
387,1981-07-15,SPX Index,130.25,asset
388,1981-07-16,SPX Index,130.34,asset
389,1981-07-17,SPX Index,130.76,asset
390,1981-07-20,SPX Index,128.72,asset
391,1981-07-21,SPX Index,128.34,asset
392,1981-07-22,SPX Index,127.13,asset
393,1981-07-23,SPX Index,127.4,asset
394,1981-07-24,SPX Index,128.46,asset
395,1981-07-27,SPX Index,129.9,asset
396,1981-07-28,SPX Index,129.14,asset
397,1981-07-29,SPX Index,129.16,asset
398,1981-07-30,SPX Index,130.01,asset
399,1981-07-31,SPX Index,130.92,asset
400,1981-08-03,SPX Index,130.48,asset
401,1981-08-04,SPX Index,131.98,asset
402,1981-08-05,SPX Index,132.67,asset
403,1981-08-06,SPX Index,132.64,asset
404,1981-08-07,SPX Index,131.75,asset
405,1981-08-10,SPX Index,132.54,asset
406,1981-08-11,SPX Index,133.85,asset
407,1981-08-12,SPX Index,133.4,asset
408,1981-08-13,SPX Index,133.51,asset
409,1981-08-14,SPX Index,132.49,asset
410,1981-08-17,SPX Index,131.22,asset
411,1981-08-18,SPX Index,130.11,asset
412,1981-08-19,SPX Index,130.49,asset
413,1981-08-20,SPX Index,130.69,asset
414,1981-08-21,SPX Index,129.23,asset
415,1981-08-24,SPX Index,125.5,asset
416,1981-08-25,SPX Index,126.13,asset
417,1981-08-26,SPX Index,124.96,asset
418,1981-08-27,SPX Index,123.51,asset
419,1981-08-28,SPX Index,124.08,asset
420,1981-08-31,SPX Index,122.79,asset
421,1981-09-01,SPX Index,123.02,asset
422,1981-09-02,SPX Index,123.49,asset
423,1981-09-03,SPX Index,121.24,asset
424,1981-09-04,SPX Index,120.07,asset
425,1981-09-08,SPX Index,117.98,asset
426,1981-09-09,SPX Index,118.4,asset
427,1981-09-10,SPX Index,120.14,asset
428,1981-09-11,SPX Index,121.61,asset
429,1981-09-14,SPX Index,120.66,asset
430,1981-09-15,SPX Index,119.77,asset
431,1981-09-16,SPX Index,118.87,asset
432,1981-09-17,SPX Index,117.15,asset
433,1981-09-18,SPX Index,116.26,asset
434,1981-09-21,SPX Index,117.24,asset
435,1981-09-22,SPX Index,116.68,asset
436,1981-09-23,SPX Index,115.65,asset
437,1981-09-24,SPX Index,115.01,asset
438,1981-09-25,SPX Index,112.77,asset
439,1981-09-28,SPX Index,115.53,asset
440,1981-09-29,SPX Index,115.94,asset
441,1981-09-30,SPX Index,116.18,asset
442,1981-10-01,SPX Index,117.08,asset
443,1981-10-02,SPX Index,119.36,asset
444,1981-10-05,SPX Index,119.51,asset
445,1981-10-06,SPX Index,119.39,asset
446,1981-10-07,SPX Index,121.31,asset
447,1981-10-08,SPX Index,122.31,asset
448,1981-10-09,SPX Index,121.45,asset
449,1981-10-12,SPX Index,121.21,asset
450,1981-10-13,SPX Index,120.98,asset
451,1981-10-14,SPX Index,118.8,asset
452,1981-10-15,SPX Index,119.71,asset
453,1981-10-16,SPX Index,119.19,asset
454,1981-10-19,SPX Index,118.98,asset
455,1981-10-20,SPX Index,120.28,asset
456,1981-10-21,SPX Index,120.1,asset
457,1981-10-22,SPX Index,119.64,asset
458,1981-10-23,SPX Index,118.6,asset
459,1981-10-26,SPX Index,118.16,asset
460,1981-10-27,SPX Index,119.29,asset
461,1981-10-28,SPX Index,119.45,asset
462,1981-10-29,SPX Index,119.06,asset
463,1981-10-30,SPX Index,121.89,asset
464,1981-11-02,SPX Index,124.2,asset
465,1981-11-03,SPX Index,124.8,asset
466,1981-11-04,SPX Index,124.74,asset
467,1981-11-05,SPX Index,123.54,asset
468,1981-11-06,SPX Index,122.67,asset
469,1981-11-09,SPX Index,123.29,asset
470,1981-11-10,SPX Index,122.7,asset
471,1981-11-11,SPX Index,122.92,asset
472,1981-11-12,SPX Index,123.19,asset
473,1981-11-13,SPX Index,121.67,asset
474,1981-11-16,SPX Index,120.24,asset
475,1981-11-17,SPX Index,121.15,asset
476,1981-11-18,SPX Index,120.26,asset
477,1981-11-19,SPX Index,120.71,asset
478,1981-11-20,SPX Index,121.71,asset
479,1981-11-23,SPX Index,121.6,asset
480,1981-11-24,SPX Index,123.51,asset
481,1981-11-25,SPX Index,124.05,asset
482,1981-11-27,SPX Index,125.09,asset
483,1981-11-30,SPX Index,126.35,asset
484,1981-12-01,SPX Index,126.1,asset
485,1981-12-02,SPX Index,124.69,asset
486,1981-12-03,SPX Index,125.12,asset
487,1981-12-04,SPX Index,126.26,asset
488,1981-12-07,SPX Index,125.19,asset
489,1981-12-08,SPX Index,124.82,asset
490,1981-12-09,SPX Index,125.48,asset
491,1981-12-10,SPX Index,125.71,asset
492,1981-12-11,SPX Index,124.93,asset
493,1981-12-14,SPX Index,122.78,asset
494,1981-12-15,SPX Index,122.99,asset
495,1981-12-16,SPX Index,122.42,asset
496,1981-12-17,SPX Index,123.12,asset
497,1981-12-18,SPX Index,124.0,asset
498,1981-12-21,SPX Index,123.34,asset
499,1981-12-22,SPX Index,122.88,asset
500,1981-12-23,SPX Index,122.31,asset
501,1981-12-24,SPX Index,122.54,asset
502,1981-12-28,SPX Index,122.27,asset
503,1981-12-29,SPX Index,121.67,asset
504,1981-12-30,SPX Index,122.3,asset
505,1981-12-31,SPX Index,122.55,asset
506,1982-01-04,SPX Index,122.74,asset
507,1982-01-05,SPX Index,120.05,asset
508,1982-01-06,SPX Index,119.18,asset
509,1982-01-07,SPX Index,118.93,asset
510,1982-01-08,SPX Index,119.55,asset
511,1982-01-11,SPX Index,116.78,asset
512,1982-01-12,SPX Index,116.3,asset
513,1982-01-13,SPX Index,114.88,asset
514,1982-01-14,SPX Index,115.54,asset
515,1982-01-15,SPX Index,116.33,asset
516,1982-01-18,SPX Index,117.22,asset
517,1982-01-19,SPX Index,115.97,asset
518,1982-01-20,SPX Index,115.27,asset
519,1982-01-21,SPX Index,115.75,asset
520,1982-01-22,SPX Index,115.38,asset
521,1982-01-25,SPX Index,115.41,asset
522,1982-01-26,SPX Index,115.19,asset
523,1982-01-27,SPX Index,115.14,asset
524,1982-01-28,SPX Index,118.92,asset
525,1982-01-29,SPX Index,120.4,asset
526,1982-02-01,SPX Index,117.78,asset
527,1982-02-02,SPX Index,118.01,asset
528,1982-02-03,SPX Index,116.48,asset
529,1982-02-04,SPX Index,116.42,asset
530,1982-02-05,SPX Index,117.26,asset
531,1982-02-08,SPX Index,114.63,asset
532,1982-02-09,SPX Index,113.68,asset
533,1982-02-10,SPX Index,114.66,asset
534,1982-02-11,SPX Index,114.43,asset
535,1982-02-12,SPX Index,114.38,asset
536,1982-02-16,SPX Index,114.06,asset
537,1982-02-17,SPX Index,113.69,asset
538,1982-02-18,SPX Index,113.82,asset
539,1982-02-19,SPX Index,113.22,asset
540,1982-02-22,SPX Index,111.59,asset
541,1982-02-23,SPX Index,111.51,asset
542,1982-02-24,SPX Index,113.47,asset
543,1982-02-25,SPX Index,113.21,asset
544,1982-02-26,SPX Index,113.11,asset
545,1982-03-01,SPX Index,113.31,asset
546,1982-03-02,SPX Index,112.68,asset
547,1982-03-03,SPX Index,110.92,asset
548,1982-03-04,SPX Index,109.88,asset
549,1982-03-05,SPX Index,109.34,asset
550,1982-03-08,SPX Index,107.34,asset
551,1982-03-09,SPX Index,108.83,asset
552,1982-03-10,SPX Index,109.41,asset
553,1982-03-11,SPX Index,109.36,asset
554,1982-03-12,SPX Index,108.61,asset
555,1982-03-15,SPX Index,109.45,asset
556,1982-03-16,SPX Index,109.28,asset
557,1982-03-17,SPX Index,109.08,asset
558,1982-03-18,SPX Index,110.3,asset
559,1982-03-19,SPX Index,110.61,asset
560,1982-03-22,SPX Index,112.77,asset
561,1982-03-23,SPX Index,113.55,asset
562,1982-03-24,SPX Index,112.97,asset
563,1982-03-25,SPX Index,113.21,asset
564,1982-03-26,SPX Index,111.94,asset
565,1982-03-29,SPX Index,112.3,asset
566,1982-03-30,SPX Index,112.27,asset
567,1982-03-31,SPX Index,111.96,asset
568,1982-04-01,SPX Index,113.79,asset
569,1982-04-02,SPX Index,115.12,asset
570,1982-04-05,SPX Index,114.73,asset
571,1982-04-06,SPX Index,115.36,asset
572,1982-04-07,SPX Index,115.46,asset
573,1982-04-08,SPX Index,116.22,asset
574,1982-04-12,SPX Index,116.0,asset
575,1982-04-13,SPX Index,115.99,asset
576,1982-04-14,SPX Index,115.83,asset
577,1982-04-15,SPX Index,116.35,asset
578,1982-04-16,SPX Index,116.81,asset
579,1982-04-19,SPX Index,116.7,asset
580,1982-04-20,SPX Index,115.44,asset
581,1982-04-21,SPX Index,115.72,asset
582,1982-04-22,SPX Index,117.19,asset
583,1982-04-23,SPX Index,118.64,asset
584,1982-04-26,SPX Index,119.26,asset
585,1982-04-27,SPX Index,118.0,asset
586,1982-04-28,SPX Index,117.26,asset
587,1982-04-29,SPX Index,116.13,asset
588,1982-04-30,SPX Index,116.44,asset
589,1982-05-03,SPX Index,116.81,asset
590,1982-05-04,SPX Index,117.46,asset
591,1982-05-05,SPX Index,117.67,asset
592,1982-05-06,SPX Index,118.68,asset
593,1982-05-07,SPX Index,119.47,asset
594,1982-05-10,SPX Index,118.38,asset
595,1982-05-11,SPX Index,119.42,asset
596,1982-05-12,SPX Index,119.17,asset
597,1982-05-13,SPX Index,118.22,asset
598,1982-05-14,SPX Index,118.01,asset
599,1982-05-17,SPX Index,116.71,asset
600,1982-05-18,SPX Index,115.84,asset
601,1982-05-19,SPX Index,114.89,asset
602,1982-05-20,SPX Index,114.59,asset
603,1982-05-21,SPX Index,114.89,asset
604,1982-05-24,SPX Index,114.79,asset
605,1982-05-25,SPX Index,114.4,asset
606,1982-05-26,SPX Index,113.11,asset
607,1982-05-27,SPX Index,112.66,asset
608,1982-05-28,SPX Index,111.88,asset
609,1982-06-01,SPX Index,111.68,asset
610,1982-06-02,SPX Index,112.04,asset
611,1982-06-03,SPX Index,111.86,asset
612,1982-06-04,SPX Index,110.09,asset
613,1982-06-07,SPX Index,110.12,asset
614,1982-06-08,SPX Index,109.63,asset
615,1982-06-09,SPX Index,108.99,asset
616,1982-06-10,SPX Index,109.61,asset
617,1982-06-11,SPX Index,111.24,asset
618,1982-06-14,SPX Index,109.96,asset
619,1982-06-15,SPX Index,109.96,asset
620,1982-06-16,SPX Index,108.87,asset
621,1982-06-17,SPX Index,107.6,asset
622,1982-06-18,SPX Index,107.28,asset
623,1982-06-21,SPX Index,107.2,asset
624,1982-06-22,SPX Index,108.3,asset
625,1982-06-23,SPX Index,110.14,asset
626,1982-06-24,SPX Index,109.83,asset
627,1982-06-25,SPX Index,109.14,asset
628,1982-06-28,SPX Index,110.26,asset
629,1982-06-29,SPX Index,110.21,asset
630,1982-06-30,SPX Index,109.61,asset
631,1982-07-01,SPX Index,108.71,asset
632,1982-07-02,SPX Index,107.65,asset
633,1982-07-06,SPX Index,107.29,asset
