,date,tic,LAST_PRICE,type
0,1980-01-02,SPX Index,105.76,asset
1,1980-01-03,SPX Index,105.22,asset
2,1980-01-04,SPX Index,106.52,asset
3,1980-01-07,SPX Index,106.81,asset
4,1980-01-08,SPX Index,108.95,asset
5,1980-01-09,SPX Index,109.05,asset
6,1980-01-10,SPX Index,109.89,asset
7,1980-01-11,SPX Index,109.92,asset
8,1980-01-14,SPX Index,110.38,asset
9,1980-01-15,SPX Index,111.14,asset
10,1980-01-16,SPX Index,111.05,asset
11,1980-01-17,SPX Index,110.7,asset
12,1980-01-18,SPX Index,111.07,asset
13,1980-01-21,SPX Index,112.1,asset
14,1980-01-22,SPX Index,111.51,asset
15,1980-01-23,SPX Index,113.44,asset
16,1980-01-24,SPX Index,113.7,asset
17,1980-01-25,SPX Index,113.61,asset
18,1980-01-28,SPX Index,114.85,asset
19,1980-01-29,SPX Index,114.07,asset
20,1980-01-30,SPX Index,115.2,asset
21,1980-01-31,SPX Index,114.16,asset
22,1980-02-01,SPX Index,115.12,asset
23,1980-02-04,SPX Index,114.37,asset
24,1980-02-05,SPX Index,114.66,asset
25,1980-02-06,SPX Index,115.72,asset
26,1980-02-07,SPX Index,116.28,asset
27,1980-02-08,SPX Index,117.95,asset
28,1980-02-11,SPX Index,117.12,asset
29,1980-02-12,SPX Index,117.9,asset
30,1980-02-13,SPX Index,118.44,asset
31,1980-02-14,SPX Index,116.72,asset
32,1980-02-15,SPX Index,115.41,asset
33,1980-02-19,SPX Index,114.6,asset
34,1980-02-20,SPX Index,116.47,asset
35,1980-02-21,SPX Index,115.28,asset
36,1980-02-22,SPX Index,115.04,asset
37,1980-02-25,SPX Index,113.33,asset
38,1980-02-26,SPX Index,113.98,asset
39,1980-02-27,SPX Index,112.38,asset
40,1980-02-28,SPX Index,112.35,asset
41,1980-02-29,SPX Index,113.66,asset
42,1980-03-03,SPX Index,112.5,asset
43,1980-03-04,SPX Index,112.78,asset
44,1980-03-05,SPX Index,111.13,asset
45,1980-03-06,SPX Index,108.65,asset
46,1980-03-07,SPX Index,106.9,asset
47,1980-03-10,SPX Index,106.51,asset
48,1980-03-11,SPX Index,107.78,asset
49,1980-03-12,SPX Index,106.87,asset
50,1980-03-13,SPX Index,105.62,asset
51,1980-03-14,SPX Index,105.43,asset
52,1980-03-17,SPX Index,102.26,asset
53,1980-03-18,SPX Index,104.1,asset
54,1980-03-19,SPX Index,104.31,asset
55,1980-03-20,SPX Index,103.12,asset
56,1980-03-21,SPX Index,102.31,asset
57,1980-03-24,SPX Index,99.28,asset
58,1980-03-25,SPX Index,99.19,asset
59,1980-03-26,SPX Index,98.68,asset
60,1980-03-27,SPX Index,98.22,asset
61,1980-03-28,SPX Index,100.68,asset
62,1980-03-31,SPX Index,102.09,asset
