,date,tic,BEST_PE_RATIO,PX_LAST
0,2023-01-02,SPX Index,17.6226,
1,2023-01-03,SPX Index,17.5568,3824.14
2,2023-01-04,SPX Index,17.6977,3852.97
3,2023-01-05,SPX Index,17.5065,3808.1
4,2023-01-06,SPX Index,17.9075,3895.08
5,2023-01-09,SPX Index,17.9147,3892.09
6,2023-01-10,SPX Index,18.0363,3919.25
7,2023-01-11,SPX Index,18.2759,3969.61
8,2023-01-12,SPX Index,18.3448,3983.17
9,2023-01-13,SPX Index,18.4279,3999.09
10,2023-01-16,SPX Index,18.4295,
11,2023-01-17,SPX Index,18.3822,3990.97
12,2023-01-18,SPX Index,18.1124,3928.86
13,2023-01-19,SPX Index,17.9961,3898.85
14,2023-01-20,SPX Index,18.3238,3972.61
15,2023-01-23,SPX Index,18.546,4019.81
16,2023-01-24,SPX Index,18.5823,4016.95
17,2023-01-25,SPX Index,18.6704,4016.22
18,2023-01-26,SPX Index,18.8808,4060.43
19,2023-01-27,SPX Index,18.9361,4070.56
20,2023-01-30,SPX Index,18.6908,4017.77
21,2023-01-31,SPX Index,19.0387,4076.6
22,2023-02-01,SPX Index,19.2083,4119.21
23,2023-02-02,SPX Index,19.7485,4179.76
24,2023-02-03,SPX Index,19.562,4136.48
25,2023-02-06,SPX Index,19.4515,4111.08
26,2023-02-07,SPX Index,19.682,4164.0
27,2023-02-08,SPX Index,19.4894,4117.86
28,2023-02-09,SPX Index,19.4222,4081.5
29,2023-02-10,SPX Index,19.4853,4090.46
30,2023-02-13,SPX Index,18.726,4137.29
31,2023-02-14,SPX Index,18.7301,4136.13
32,2023-02-15,SPX Index,18.8255,4147.6
33,2023-02-16,SPX Index,18.5839,4090.41
34,2023-02-17,SPX Index,18.5284,4079.09
35,2023-02-20,SPX Index,18.5391,
36,2023-02-21,SPX Index,18.1733,3997.34
37,2023-02-22,SPX Index,18.1588,3991.05
38,2023-02-23,SPX Index,18.2665,4012.32
39,2023-02-24,SPX Index,18.0799,3970.04
40,2023-02-27,SPX Index,18.0896,3982.24
41,2023-02-28,SPX Index,18.0429,3970.15
42,2023-03-01,SPX Index,17.958,3951.39
43,2023-01-02,NDX Index,22.8711,
44,2023-01-03,NDX Index,22.7176,10862.64
45,2023-01-04,NDX Index,22.8531,10914.8
46,2023-01-05,NDX Index,22.5153,10741.22
47,2023-01-06,NDX Index,23.1431,11040.35
48,2023-01-09,NDX Index,23.2876,11108.45
49,2023-01-10,NDX Index,23.4964,11205.78
50,2023-01-11,NDX Index,23.9129,11402.52
51,2023-01-12,NDX Index,24.0678,11459.61
52,2023-01-13,NDX Index,24.2376,11541.48
53,2023-01-16,NDX Index,24.2432,
54,2023-01-17,NDX Index,24.2982,11557.19
55,2023-01-18,NDX Index,23.9855,11410.29
56,2023-01-19,NDX Index,23.8325,11295.67
57,2023-01-20,NDX Index,24.4907,11619.03
58,2023-01-23,NDX Index,25.0443,11872.54
59,2023-01-24,NDX Index,24.9722,11846.64
60,2023-01-25,NDX Index,24.9428,11814.69
61,2023-01-26,NDX Index,25.615,12051.48
62,2023-01-27,NDX Index,25.8745,12166.6
63,2023-01-30,NDX Index,25.2907,11912.39
64,2023-01-31,NDX Index,25.8826,12101.93
65,2023-02-01,NDX Index,25.9734,12363.1
66,2023-02-02,NDX Index,27.6031,12803.14
67,2023-02-03,NDX Index,27.0931,12573.36
68,2023-02-06,NDX Index,26.8931,12464.51
69,2023-02-07,NDX Index,27.6146,12728.27
70,2023-02-08,NDX Index,27.107,12495.38
71,2023-02-09,NDX Index,27.0018,12381.17
72,2023-02-10,NDX Index,26.8603,12304.92
73,2023-02-13,NDX Index,27.2916,12502.31
74,2023-02-14,NDX Index,27.5067,12590.89
75,2023-02-15,NDX Index,24.4545,12687.89
76,2023-02-16,NDX Index,23.9904,12442.48
77,2023-02-17,NDX Index,23.8166,12358.18
78,2023-02-20,NDX Index,23.8142,
79,2023-02-21,NDX Index,23.2073,12060.3
80,2023-02-22,NDX Index,23.231,12066.27
81,2023-02-23,NDX Index,23.4789,12180.14
82,2023-02-24,NDX Index,23.0862,11969.65
83,2023-02-27,NDX Index,23.2283,12057.79
84,2023-02-28,NDX Index,23.1957,12042.12
85,2023-03-01,NDX Index,23.0189,11938.57
